place_id,place_name,type_1,type_2,type_3,price_level,average_rating,user_ratings_total,formatted_address,latitude,longitude,geohash,upper_geohash,distance,duration
ChIJcx2-9Nfd4EcRkpNp85vO7RY,Terre Rouen Centre Sarl,shopping,store,['jewelry_store'],,4.4,28.0,"50 Rue Saint-Lô, 76000 Rouen, France",49.4428544,1.091948,u0bc2b,u0bc2,0.5 km,7 mins
ChIJa4-NBXLf4EcRFqN7yAKOqys,PHONEPRO SERVICES,shopping,store,['electronics_store'],,4.2,6.0,"103 Rue Lafayette, 76100 Rouen, France",49.4319638,1.0886638,u0bc0y,u0bc0,1.2 km,15 mins
ChIJl37Ju9fd4EcRZACqmdIgOps,Framboisine,shopping,store,['jewelry_store'],,4.8,30.0,"56 Rue Saint-Nicolas, 76000 Rouen, France",49.441615,1.095295,u0bc2b,u0bc2,0.3 km,4 mins
ChIJR_hif3fe4EcRYEGGcr7ML88,O' Gratin De Rouen,food,restaurant,,,4.5,27.0,"16 Rue de la Champmesle, 76000 Rouen, France",49.4388456,1.0915106,u0bc2b,u0bc2,0.3 km,4 mins
ChIJcfHxHg7e4EcRTJA--aHy-OM,Pizza delice,food,restaurant,"['meal_delivery', 'meal_takeaway']",,3.9,244.0,"18 Av. Jean Rondeaux, 76100 Rouen, France",49.4318117,1.0736427,u0bc0q,u0bc0,2.3 km,30 mins
ChIJFX28Npng4EcRfp3G-5p427s,Bonheur de Chine,food,restaurant,,,4.0,79.0,"Rue Gay Lussac, 76120 Le Grand-Quevilly, France",49.4168361,1.0426984,u0b9ps,u0b9p,5.1 km,1 hour 7 mins
ChIJ6d7hgNXd4EcRHTQIKxpgfOs,Le P'Tit Bec,food,restaurant,,2.0,4.4,780.0,"182 Rue Eau de Robec, 76000 Rouen, France",49.441525,1.0999692,u0bc30,u0bc3,0.6 km,7 mins
ChIJt4c51n3h4EcRBvpLdM13w60,Stokomani Le Grand Quevilly,shopping,store,"['furniture_store', 'home_goods_store', 'clothing_store']",,4.1,677.0,"10 Rue Paul Vaillant Couturier, 76120 Le Grand-Quevilly, France",49.4220973,1.0462406,u0b9pv,u0b9p,4.9 km,1 hour 4 mins
ChIJd-vwjG3e4EcRxGzPz1Fk40Q,H&M,shopping,store,['clothing_store'],,3.6,470.0,"Centre Commercial Saint-Sever, 76046 Rouen, France",49.430949,1.084889,u0bc0w,u0bc0,1.4 km,17 mins
ChIJv9zOASHf4EcRQlVKJPsnsh0,Hai Bà,food,restaurant,,,4.6,211.0,"8-10 Rue des Augustins, 76000 Rouen, France",49.4380754,1.0999008,u0bc1p,u0bc1,0.5 km,6 mins
ChIJt-GVVJTd4EcROSeB-XONCe8,Acqua & Farine,food,restaurant,"['meal_delivery', 'store']",,4.1,175.0,"4 bis Pl. de la Pucelle, 76000 Rouen, France",49.4419998,1.0889104,u0bc2b,u0bc2,0.6 km,7 mins
ChIJn7_IzXDf4EcRjG0NspxK2no,Emy Biscuits France,food,cafe,,,5.0,81.0,"103 Rue Beauvoisine, 76000 Rouen, France",49.4456702,1.0972303,u0bc2c,u0bc2,0.8 km,10 mins
ChIJ4wWy3O3d4EcROqnTgM1UL3c,EMJI,food,cafe,"['bakery', 'restaurant', 'store']",,4.9,76.0,"3 Pl. Dominique Laboubée, 76000 Rouen, France",49.441866,1.0911866,u0bc2b,u0bc2,0.4 km,5 mins
ChIJRWjDR3De4EcRFvpr7OeEs-M,Le Floreal,food,restaurant,,,4.8,29.0,"76100 Rouen, France",49.4326836,1.0894428,u0bc0y,u0bc0,1.1 km,14 mins
ChIJUzCCi3nf4EcRI28FQ-6MSMA,Farenson store,shopping,store,['jewelry_store'],,4.2,5.0,"57 Av. de Bretagne, 76100 Rouen, France",49.4317232,1.0841703,u0bc0w,u0bc0,1.4 km,18 mins
ChIJ_QcfRtbd4EcRXe7w8L0k6zU,Mellow Yellow Rouen,shopping,store,['shoe_store'],,4.6,10.0,"115 Rue des Carmes, 76000 Rouen, France",49.4429179,1.0953031,u0bc2b,u0bc2,0.4 km,5 mins
